,source,target,value
0,France,UK,18
1,France,Russia,6
2,Germany,Russia,21
3,Germany,Italy,22
4,Germany,USA,34
5,Austria,Germany,11
6,Germany,Spain,3
7,France,Spain,1
8,France,Poland,15
9,France,Germany,13
10,Germany,Poland,24
11,Estonia,Germany,5
12,Estonia,Latvia,6
13,Latvia,Lithuania,6
14,Finland,Lithuania,12
15,Finland,Germany,11
16,Denmark,Poland,5
17,Denmark,Norway,12
18,Denmark,Sweden,6
19,Germany,Sweden,6
20,Germany,Netherlands,5
21,Luxembourg,Netherlands,6
22,Belgium,Luxembourg,5
23,Belgium,France,6
24,France,Italy,5
25,Italy,UK,6
26,Germany,UK,8
27,Albania,Greece,12
28,Greece,Ukraine,2
29,Belarus,Ukraine,6
30,Belarus,Libya,3
31,Egypt,Libya,15
32,Egypt,Iraq,5
33,Germany,Japan,24
34,Japan,Russia,14
35,Morocco,USA,5
36,Algeria,Morocco,6
37,Algeria,Italy,5
38,Japan,USA,28
39,Japan,Thailand,6
40,Singapore,Thailand,6
41,Japan,Singapore,5
42,Japan,Philippines,11
43,Japan,Solomon Islands,9
44,India,Japan,12
45,Poland,USA,1
46,UK,USA,12
47,Russia,USA,12
48,Russia,UK,6
49,France,India,6
50,India,Pakistan,15
51,Israel,Pakistan,6
52,Israel,South Africa,12
53,Israel,Libya,6
54,Iran,Libya,6
55,Iran,USA,5
56,France,Japan,4
57,India,Papua New Guinea,3
58,Pakistan,USA,5
59,Philippines,USA,6
60,Laos,Philippines,5
61,Cambodia,Laos,6
62,Cambodia,Kenya,6
63,Ghana,Kenya,6
64,Ghana,UK,5
65,Seychelles,UK,6
66,Estonia,Lithuania,6
67,Finland,Romania,6
68,Albania,Romania,5
69,Albania,Bulgaria,6
70,Bulgaria,Poland,6
71,Poland,Romania,6
72,Hungary,Romania,6
73,Hungary,Mongolia,5
74,Cuba,Mongolia,6
75,Cuba,USA,14
76,Canada,USA,6
77,Australia,Canada,6
78,Australia,UK,6
79,UK,Vietnam,4
80,Cambodia,Vietnam,5
81,Cuba,Vietnam,5
82,India,South Africa,1
83,Rwanda,South Africa,5
84,Germany,Norway,6
85,Greece,Italy,3
86,Italy,Japan,6
87,Romania,Russia,6
88,India,Lebanon,2
89,India,Singapore,5
